".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","study","group","trial","condition","filename","optRadiusHR","optEmbdimHR","optDelayHR","optRadiusResp","optEmbdimResp","optDelayResp"
"1",13.677292,101.903,100.84,-10,0.96261582,NA,0.56620541937864,1.36881894042826,-1.01841751350402,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"2",13.67896,101.903,100.84,-10,0.86738281,NA,0.481363294517257,1.36881894042826,-1.01841751350402,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"3",13.680624,101.903,100.84,-10,0.77236935,NA,0.396716764529052,1.36881894042826,-1.01841751350402,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"4",13.682292,101.903,100.84,-10,0.68121643,NA,0.315509550558606,1.36881894042826,-1.01841751350402,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"5",13.683958,96.512804,99.943744,-10,0.5954315,NA,0.23908462455569,0.61582751449684,-1.15562812355126,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"6",13.685625,95.8466,98.0392,-10,0.5400879,NA,0.189779571386852,0.522761158482842,-1.44720066990162,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"7",13.687292,95.8466,98.0392,-10,0.54981381,NA,0.19844428618071,0.522761158482842,-1.44720066990162,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"8",13.68896,95.8466,98.0392,-10,0.61889345,NA,0.259986638378329,0.522761158482842,-1.44720066990162,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"9",13.690623,95.8466,98.0392,-10,0.70298156,NA,0.334899884614877,0.522761158482842,-1.44720066990162,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
"10",13.692291,95.8466,98.0392,-10,0.79136658,NA,0.413641204486168,0.522761158482842,-1.44720066990162,"Study1","G1","T1","Synchronous","Study1_G1_T1_Synchronous.csv",0.366243242916347,20,0,NA,NA,NA
