".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S","study","group","trial","condition","filename","optRadiusHR","optEmbdimHR","optDelayHR","optRadiusResp","optEmbdimResp","optDelayResp"
"1",7.1492083,73.271176,78.534,1.2297762,-10,1.3996657701803,-0.0266311820658727,-1.13807512850881,-2.38288568080117,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"2",7.150875,77.821,78.570218,0.85813595,-10,0.987801356937402,-0.0266311820658727,-0.390187117127491,-2.37742937430012,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"3",7.1525417,77.821,79.0514,0.47782894,-10,0.566332144370115,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"4",7.1542083,77.821,79.0514,0.1389801198,-10,0.190808313165825,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"5",7.155875,77.821,79.0514,-0.165039081,-10,-0.146116144699182,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"6",7.1575417,77.821,79.0514,-0.43379516,-10,-0.443960807064994,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"7",7.1592083,77.821,79.0514,-0.6444488,-10,-0.677414362852021,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"8",7.160875,77.821,79.0514,-0.72225342,-10,-0.763640099068393,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"9",7.1625417,77.821,79.0514,-0.4772003,-10,-0.492063865110579,-0.0266311820658727,-0.390187117127491,-2.3049384450719,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
"10",7.1642083,77.821,79.72565,0.08985902048,-10,0.136370633852894,-0.0266311820658727,-0.390187117127491,-2.20336147620746,"Study1","G2","T1","TurnTaking","Study1_G2_T1_TurnTaking.csv",0.373490272166101,20,0,NA,NA,NA
